step,agent,post,peers,perspective,tokens,polarity,salience
1,0,"{'type': 'pro', 'text': 'Low participation rates are doubly dangerous. They mean our politicians are not representative of the population as a whole.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[20535, 10270, 3965, 389, 3385, 306, 4923, 13, 1119, 1612, 674, 7602, 389, 407, 8852, 286, 262, 3265, 355, 257, 2187, 13]",0.48304415319550775,4.46911583739282
1,1,"{'type': 'con', 'text': 'Refraining from the democratic process is a democratic statement of disenchantment. Those who are disenchanted with politics in general have a right to register their dissatisfaction.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[8134, 24674, 422, 262, 10518, 1429, 318, 257, 10518, 2643, 286, 595, 268, 8907, 434, 13, 5845, 508, 389, 595, 24421, 4126, 351, 4819, 287, 2276, 423, 257, 826, 284, 7881, 511, 41393, 13]",0.5096074053788361,7.305282545618367
1,2,"{'type': 'pro', 'text': 'Low participation rates are doubly dangerous. They mean our politicians are not representative of the population as a whole.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[20535, 10270, 3965, 389, 3385, 306, 4923, 13, 1119, 1612, 674, 7602, 389, 407, 8852, 286, 262, 3265, 355, 257, 2187, 13]",0.46619757197190914,4.491108904154355
1,3,"{'type': 'con', 'text': 'Just as the right to free speech is complemented by the right to silence, so the right to vote is balanced by the right of abstention.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[5703, 355, 262, 826, 284, 1479, 4046, 318, 1224, 12061, 416, 262, 826, 284, 9550, 11, 523, 262, 826, 284, 3015, 318, 12974, 416, 262, 826, 286, 16552, 1463, 13]",0.4699258055563966,6.205351968732327
1,4,"{'type': 'pro', 'text': 'Low participation rates are doubly dangerous. They mean our politicians are not representative of the population as a whole.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[20535, 10270, 3965, 389, 3385, 306, 4923, 13, 1119, 1612, 674, 7602, 389, 407, 8852, 286, 262, 3265, 355, 257, 2187, 13]",0.48562192969064605,5.459309506673749
1,5,"{'type': 'pro', 'text': 'Low participation rates are doubly dangerous. They mean our politicians are not representative of the population as a whole.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[20535, 10270, 3965, 389, 3385, 306, 4923, 13, 1119, 1612, 674, 7602, 389, 407, 8852, 286, 262, 3265, 355, 257, 2187, 13]",0.4872338444476051,5.564470681770449
1,6,"{'type': 'pro', 'text': 'We compel people to wear seatbelts and to serve on juries and we should not be afraid to do the same in the case of voting.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[1135, 33729, 661, 284, 5806, 5852, 6667, 912, 290, 284, 4691, 319, 474, 4740, 290, 356, 815, 407, 307, 7787, 284, 466, 262, 976, 287, 262, 1339, 286, 6709, 13]",0.49506061343568103,8.193974486090585
1,7,"{'type': 'con', 'text': ""Some people who don't vote cannot get physically to the polling booth. Others are simply not interested in politics.""}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[4366, 661, 508, 836, 470, 3015, 2314, 651, 10170, 284, 262, 13985, 18600, 13, 12691, 389, 2391, 407, 4609, 287, 4819, 13]",0.49196910061914345,7.210015635469411
1,8,"{'type': 'con', 'text': 'Refraining from the democratic process is a democratic statement of disenchantment. Those who are disenchanted with politics in general have a right to register their dissatisfaction.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[8134, 24674, 422, 262, 10518, 1429, 318, 257, 10518, 2643, 286, 595, 268, 8907, 434, 13, 5845, 508, 389, 595, 24421, 4126, 351, 4819, 287, 2276, 423, 257, 826, 284, 7881, 511, 41393, 13]",0.5768913769514183,13.092166205059947
1,9,"{'type': 'con', 'text': 'Peoples right to abstain from voting should not be taken away by politicians who want to hide the fact of their upopularity and irrelevance in society.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[6435, 12614, 826, 284, 16552, 391, 422, 6709, 815, 407, 307, 2077, 1497, 416, 7602, 508, 765, 284, 7808, 262, 1109, 286, 511, 510, 404, 33737, 290, 11331, 2768, 590, 287, 3592, 13]",0.530683748888099,8.08406801469522
2,0,{'text': 'The right to abstain from voting should not be taken away by politicians who want to hide the fact of their upopularity and irrelevance in society.'},[0],"[(1, 0), (0, 0), (0, 1), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[464, 826, 284, 16552, 391, 422, 6709, 815, 407, 307, 2077, 1497, 416, 7602, 508, 765, 284, 7808, 262, 1109, 286, 511, 510, 404, 33737, 290, 11331, 2768, 590, 287, 3592, 13]",0.539014733744439,7.786832792114819
2,1,"{'text': ""If we are going to make voting compulsory, we should do it in a way that doesn't infringe on the right to vote.""}",[1],"[(1, 1), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[1532, 356, 389, 1016, 284, 787, 6709, 31967, 11, 356, 815, 466, 340, 287, 257, 835, 326, 1595, 470, 14020, 68, 319, 262, 826, 284, 3015, 13]",0.5382591423156592,8.527387059085392
2,2,"{'text': ""If you're not interested in politics, why should you vote?""}",[2],"[(1, 2), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 7), (0, 8), (0, 9)]","[1532, 345, 821, 407, 4609, 287, 4819, 11, 1521, 815, 345, 3015, 30]",0.5172066742055708,8.565969297115066
2,3,"{'text': 'If you want to make voting compulsory, you should make it compulsory for everyone, not just those who can afford to pay for it.'}",[3],"[(1, 3), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[1532, 345, 765, 284, 787, 6709, 31967, 11, 345, 815, 787, 340, 31967, 329, 2506, 11, 407, 655, 883, 508, 460, 5368, 284, 1414, 329, 340, 13]",0.5196534420402852,7.260412414783388
2,4,"{'text': ""If you don't like it, don't vote for it.""}","[4, 5]","[(1, 4), (1, 5), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[1532, 345, 836, 470, 588, 340, 11, 836, 470, 3015, 329, 340, 13]",0.532848985142934,7.815585885819736
2,5,"{'text': 'If you want to vote, you should be able to vote.'}","[4, 5]","[(1, 4), (1, 5), (0, 0), (0, 1), (0, 2), (0, 3), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[1532, 345, 765, 284, 3015, 11, 345, 815, 307, 1498, 284, 3015, 13]",0.527915102304179,7.023170541740981
2,6,"{'text': 'If you have a right to vote, you have a right to abstain from voting.'}",[6],"[(1, 6), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8)]","[1532, 345, 423, 257, 826, 284, 3015, 11, 345, 423, 257, 826, 284, 16552, 391, 422, 6709, 13]",0.5721797473441531,12.927190704468728
2,7,"{'text': 'There is no reason why a citizen should not be able to vote, even if he is not interested in politics.'}",[7],"[(1, 7), (0, 0), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 9)]","[1858, 318, 645, 1738, 1521, 257, 9511, 815, 407, 307, 1498, 284, 3015, 11, 772, 611, 339, 318, 407, 4609, 287, 4819, 13]",0.5264203593420748,7.980564114700667
2,8,"{'text': 'If we are going to take away the right to vote, we should also take away the right to silence.'}",[8],"[(1, 8), (0, 0), (0, 1), (0, 2), (0, 4), (0, 5), (0, 7), (0, 9)]","[1532, 356, 389, 1016, 284, 1011, 1497, 262, 826, 284, 3015, 11, 356, 815, 635, 1011, 1497, 262, 826, 284, 9550, 13]",0.5049274128568102,9.086273145086976
2,9,"{'text': 'If we want to increase the number of people who participate in politics, we need to make voting compulsory.'}",[9],"[(1, 9), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 7), (0, 8), (0, 9)]","[1532, 356, 765, 284, 2620, 262, 1271, 286, 661, 508, 8277, 287, 4819, 11, 356, 761, 284, 787, 6709, 31967, 13]",0.5121877468128813,8.211452778707606
3,0,"{'text': ""If we are going to make voting compulsory, we should do it in a way that doesn't infringe on the right to vote.""}","[0, 1]","[(2, 0), (2, 1), (1, 0), (0, 0), (0, 3), (0, 6), (0, 7), (0, 8), (0, 9)]","[1532, 356, 389, 1016, 284, 787, 6709, 31967, 11, 356, 815, 466, 340, 287, 257, 835, 326, 1595, 470, 14020, 68, 319, 262, 826, 284, 3015, 13]",0.5275442905752097,6.391548642202124
3,1,"{'text': ""If we are going to make voting compulsory, we should do it in a way that doesn't infringe on the right to abstain from voting.""}","[0, 1]","[(2, 0), (2, 1), (1, 1), (0, 0), (0, 1), (0, 2), (0, 4), (0, 6), (0, 7), (0, 8)]","[1532, 356, 389, 1016, 284, 787, 6709, 31967, 11, 356, 815, 466, 340, 287, 257, 835, 326, 1595, 470, 14020, 68, 319, 262, 826, 284, 16552, 391, 422, 6709, 13]",0.5711889943259835,12.703955004024255
3,2,"{'text': ""If you're not interested in politics, why should you vote?""}",[2],"[(2, 2), (1, 2), (0, 0), (0, 1), (0, 2), (0, 3), (0, 5), (0, 8)]","[1532, 345, 821, 407, 4609, 287, 4819, 11, 1521, 815, 345, 3015, 30]",0.5773284349737186,12.31154293100942
3,3,"{'text': 'If you want to make voting compulsory, you should make it compulsory for everyone, not just those who can afford to pay for it.'}",[3],"[(2, 3), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]","[1532, 345, 765, 284, 787, 6709, 31967, 11, 345, 815, 787, 340, 31967, 329, 2506, 11, 407, 655, 883, 508, 460, 5368, 284, 1414, 329, 340, 13]",0.533614035700413,7.913948953280252
3,4,"{'text': ""If you don't like it, don't vote for it.""}",[4],"[(2, 4), (1, 4), (1, 5), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 9)]","[1532, 345, 836, 470, 588, 340, 11, 836, 470, 3015, 329, 340, 13]",0.5197396276924543,8.504680782099982
3,5,"{'text': 'If you want to vote, you should be able to vote.'}","[5, 7]","[(2, 5), (2, 7), (1, 4), (1, 5), (0, 0), (0, 1), (0, 2), (0, 3), (0, 5), (0, 7)]","[1532, 345, 765, 284, 3015, 11, 345, 815, 307, 1498, 284, 3015, 13]",0.4951455986477597,5.250628360114625
3,6,"{'text': ""If we are going to go down the road of compulsory voting, let's make sure that it is not a one-way street.""}",[6],"[(2, 6), (1, 6), (0, 0), (0, 1), (0, 2), (0, 3), (0, 5), (0, 6), (0, 8)]","[1532, 356, 389, 1016, 284, 467, 866, 262, 2975, 286, 31967, 6709, 11, 1309, 338, 787, 1654, 326, 340, 318, 407, 257, 530, 12, 1014, 4675, 13]",0.5690644314367966,11.414809060580428
3,7,"{'text': 'If you want to vote, you should be able to vote.'}","[5, 7]","[(2, 5), (2, 7), (1, 7), (0, 0), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 9)]","[1532, 345, 765, 284, 3015, 11, 345, 815, 307, 1498, 284, 3015, 13]",0.5272131753538138,7.748835559175801
3,8,"{'text': 'If we are going to take away the right to vote, we should also take away the right to silence.'}",[8],"[(2, 8), (1, 8), (0, 0), (0, 1), (0, 2), (0, 5), (0, 7), (0, 9)]","[1532, 356, 389, 1016, 284, 1011, 1497, 262, 826, 284, 3015, 11, 356, 815, 635, 1011, 1497, 262, 826, 284, 9550, 13]",0.4928345392399128,7.675338860341322
3,9,"{'text': 'If we want to increase the number of people who participate in politics, we need to make voting compulsory.'}",[9],"[(2, 9), (1, 9), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 7), (0, 8), (0, 9)]","[1532, 356, 765, 284, 2620, 262, 1271, 286, 661, 508, 8277, 287, 4819, 11, 356, 761, 284, 787, 6709, 31967, 13]",0.5021191041643186,8.151678504320376
4,0,"{'text': ""If we are going to make voting compulsory, we should do it in a way that doesn't infringe on the right to vote.""}","[0, 7]","[(3, 0), (3, 7), (2, 0), (2, 1), (1, 0), (0, 3), (0, 6), (0, 7), (0, 9)]","[1532, 356, 389, 1016, 284, 787, 6709, 31967, 11, 356, 815, 466, 340, 287, 257, 835, 326, 1595, 470, 14020, 68, 319, 262, 826, 284, 3015, 13]",0.4918612073459141,5.591871084077578
4,1,"{'text': ""If we are going to make voting compulsory, we should do it in a way that doesn't infringe on the right to abstain from voting.""}",[1],"[(3, 1), (2, 0), (1, 1), (0, 0), (0, 1), (0, 4), (0, 7), (0, 8)]","[1532, 356, 389, 1016, 284, 787, 6709, 31967, 11, 356, 815, 466, 340, 287, 257, 835, 326, 1595, 470, 14020, 68, 319, 262, 826, 284, 16552, 391, 422, 6709, 13]",0.5770806092912089,12.152726871537745
4,2,"{'text': ""If you're not interested in politics, why should you vote?""}",[2],"[(3, 2), (1, 2), (0, 1), (0, 5)]","[1532, 345, 821, 407, 4609, 287, 4819, 11, 1521, 815, 345, 3015, 30]",0.4981331564054625,4.6758716404471965
4,3,"{'text': ""It's a good idea to make voting compulsory for everyone, not just those who can afford to pay for it.""}",[3],"[(3, 3), (2, 3), (0, 1), (0, 2), (0, 3), (0, 5), (0, 6), (0, 8), (0, 9)]","[1026, 338, 257, 922, 2126, 284, 787, 6709, 31967, 329, 2506, 11, 407, 655, 883, 508, 460, 5368, 284, 1414, 329, 340, 13]",0.5214993948613115,6.698424009660457
4,4,"{'text': ""I'm not sure that compulsory voting is the best way to solve the problem of low participation rates.""}",[4],"[(3, 4), (2, 4), (1, 4), (1, 5), (0, 1), (0, 3), (0, 4), (0, 5), (0, 6), (0, 9)]","[40, 1101, 407, 1654, 326, 31967, 6709, 318, 262, 1266, 835, 284, 8494, 262, 1917, 286, 1877, 10270, 3965, 13]",0.5328607538426662,8.381438127128732
4,5,"{'text': ""If we're going to make voting compulsory, we should make it compulsory for all citizens.""}",[5],"[(3, 5), (2, 5), (2, 7), (1, 4), (1, 5), (0, 0), (0, 1), (0, 2), (0, 3), (0, 5), (0, 7)]","[1532, 356, 821, 1016, 284, 787, 6709, 31967, 11, 356, 815, 787, 340, 31967, 329, 477, 4290, 13]",0.49732517172658663,5.258180290056444
4,6,"{'text': 'If you have a right to vote, you have a right to abstain from voting.'}",[6],"[(3, 6), (2, 6), (1, 6), (0, 0), (0, 1), (0, 2)]","[1532, 345, 423, 257, 826, 284, 3015, 11, 345, 423, 257, 826, 284, 16552, 391, 422, 6709, 13]",0.46508399227622926,4.2529419797152315
4,7,"{'text': ""If we are going to make voting compulsory, we should do it in a way that doesn't infringe on the right to vote.""}","[0, 7]","[(3, 0), (3, 7), (2, 5), (2, 7), (1, 7), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 9)]","[1532, 356, 389, 1016, 284, 787, 6709, 31967, 11, 356, 815, 466, 340, 287, 257, 835, 326, 1595, 470, 14020, 68, 319, 262, 826, 284, 3015, 13]",0.5258424915062097,7.461129214982174
4,8,"{'text': 'If we are going to take away the right to vote, we should also take away the right to silence.'}",[8],"[(3, 8), (2, 8), (1, 8), (0, 0), (0, 1), (0, 2), (0, 5), (0, 9)]","[1532, 356, 389, 1016, 284, 1011, 1497, 262, 826, 284, 3015, 11, 356, 815, 635, 1011, 1497, 262, 826, 284, 9550, 13]",0.4824799312005234,6.886647909203872
4,9,"{'text': 'If you want to increase the number of people who participate in politics, you need to make voting compulsory.'}",[9],"[(3, 9), (2, 9), (1, 9), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 7), (0, 9)]","[1532, 345, 765, 284, 2620, 262, 1271, 286, 661, 508, 8277, 287, 4819, 11, 345, 761, 284, 787, 6709, 31967, 13]",0.4924884828057569,8.619685410171856
5,0,"{'text': ""If we are going to make voting compulsory, we should do it in a way that doesn't infringe on the right to vote.""}","[0, 9]","[(4, 0), (4, 9), (3, 0), (3, 7), (2, 0), (2, 1), (1, 0), (0, 3), (0, 6), (0, 7), (0, 9)]","[1532, 356, 389, 1016, 284, 787, 6709, 31967, 11, 356, 815, 466, 340, 287, 257, 835, 326, 1595, 470, 14020, 68, 319, 262, 826, 284, 3015, 13]",0.49464785198680905,5.6857395409458285
5,1,"{'text': ""If we are going to make voting compulsory, we should do it in a way that doesn't infringe on the right to abstain from voting.""}",[1],"[(4, 1), (3, 1), (2, 0), (1, 1), (0, 0), (0, 1), (0, 7)]","[1532, 356, 389, 1016, 284, 787, 6709, 31967, 11, 356, 815, 466, 340, 287, 257, 835, 326, 1595, 470, 14020, 68, 319, 262, 826, 284, 16552, 391, 422, 6709, 13]",0.49479701981046165,4.838452100653615
5,2,"{'text': ""If we're going to make voting compulsory, we should make it compulsory for all citizens.""}","[2, 5]","[(4, 2), (4, 5), (1, 2), (0, 1), (0, 5)]","[1532, 356, 821, 1016, 284, 787, 6709, 31967, 11, 356, 815, 787, 340, 31967, 329, 477, 4290, 13]",0.4912400253526929,4.601468293123559
5,3,"{'text': 'If you want to make voting compulsory, you should make it compulsory for everyone, not just those who can afford to pay for it.'}",[3],"[(4, 3), (3, 3), (0, 2), (0, 3), (0, 8)]","[1532, 345, 765, 284, 787, 6709, 31967, 11, 345, 815, 787, 340, 31967, 329, 2506, 11, 407, 655, 883, 508, 460, 5368, 284, 1414, 329, 340, 13]",0.5461097742896869,9.38227890386377
5,4,{'text': 'I more or less agree with what my peers are saying here.'},[4],"[(4, 4), (3, 4), (2, 4), (1, 4), (1, 5), (0, 1), (0, 4), (0, 5), (0, 6), (0, 9)]","[40, 517, 393, 1342, 4236, 351, 644, 616, 14495, 389, 2282, 994, 13]",0.5250709111325943,6.072725130052806
5,5,"{'text': 'If we are going to make voting compulsory, then we should make it compulsory for all citizens.'}","[2, 5]","[(4, 2), (4, 5), (2, 5), (2, 7), (1, 4), (1, 5), (0, 1), (0, 2), (0, 3), (0, 5), (0, 7)]","[1532, 356, 389, 1016, 284, 787, 6709, 31967, 11, 788, 356, 815, 787, 340, 31967, 329, 477, 4290, 13]",0.4981066362751837,5.382837058215973
5,6,"{'text': ""If we are going to go down the road of compulsory voting, let's make sure that it is not a one-way street.""}",[6],"[(4, 6), (3, 6), (2, 6), (1, 6), (0, 0), (0, 1)]","[1532, 356, 389, 1016, 284, 467, 866, 262, 2975, 286, 31967, 6709, 11, 1309, 338, 787, 1654, 326, 340, 318, 407, 257, 530, 12, 1014, 4675, 13]",0.5056310721041771,6.769560976503523
5,7,{'text': 'Should citizens be free to abstain from voting? Or should voting be made compulsory?'},[7],"[(4, 7), (3, 7), (2, 7), (1, 7), (0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 9)]","[19926, 4290, 307, 1479, 284, 16552, 391, 422, 6709, 30, 1471, 815, 6709, 307, 925, 31967, 30]",0.5075327398440083,7.815021968755727
5,8,"{'text': 'If we are going to take away the right to vote, we should also take away the right to silence.'}",[8],"[(4, 8), (3, 8), (2, 8), (1, 8), (0, 5), (0, 9)]","[1532, 356, 389, 1016, 284, 1011, 1497, 262, 826, 284, 3015, 11, 356, 815, 635, 1011, 1497, 262, 826, 284, 9550, 13]",0.5055332470967386,6.985063085489461
5,9,"{'text': ""If we are going to make voting compulsory, we should do it in a way that doesn't infringe on the right to vote.""}","[0, 9]","[(4, 0), (4, 9), (3, 9), (2, 9), (0, 0), (0, 1), (0, 2), (0, 3), (0, 7), (0, 9)]","[1532, 356, 389, 1016, 284, 787, 6709, 31967, 11, 356, 815, 466, 340, 287, 257, 835, 326, 1595, 470, 14020, 68, 319, 262, 826, 284, 3015, 13]",0.48674188402062035,7.424749290122865
6,0,"{'text': ""If we are going to make voting compulsory, we should do it in a way that doesn't infringe on the right to abstain from voting.""}","[0, 1]","[(5, 0), (5, 1), (4, 0), (3, 0), (3, 7), (2, 1), (1, 0), (0, 6), (0, 7)]","[1532, 356, 389, 1016, 284, 787, 6709, 31967, 11, 356, 815, 466, 340, 287, 257, 835, 326, 1595, 470, 14020, 68, 319, 262, 826, 284, 16552, 391, 422, 6709, 13]",0.48873171029145385,4.679988411267855
6,1,"{'text': ""I think that if we are going to make voting compulsory, we should do it in a way that doesn't infringe on the right to abstain from voting.""}","[0, 1]","[(5, 0), (5, 1), (4, 1), (3, 1), (2, 0), (0, 0), (0, 1), (0, 7)]","[40, 892, 326, 611, 356, 389, 1016, 284, 787, 6709, 31967, 11, 356, 815, 466, 340, 287, 257, 835, 326, 1595, 470, 14020, 68, 319, 262, 826, 284, 16552, 391, 422, 6709, 13]",0.4965740444381159,4.548856249423105
6,2,"{'text': ""If we're going to make voting compulsory, we should make it compulsory for all citizens.""}",[2],"[(5, 2), (4, 2), (4, 5), (1, 2), (0, 1)]","[1532, 356, 821, 1016, 284, 787, 6709, 31967, 11, 356, 815, 787, 340, 31967, 329, 477, 4290, 13]",0.5141166396407092,8.59278254477372
6,3,"{'text': ""It's a good idea to make voting compulsory for everyone, not just those who can afford to pay for it.""}",[3],"[(5, 3), (4, 3), (3, 3), (0, 3), (0, 8)]","[1026, 338, 257, 922, 2126, 284, 787, 6709, 31967, 329, 2506, 11, 407, 655, 883, 508, 460, 5368, 284, 1414, 329, 340, 13]",0.5487846454160961,8.36981583831299
6,4,"{'text': ""I'm not sure that compulsory voting is the best way to solve the problem of low participation rates.""}",[4],"[(5, 4), (4, 4), (3, 4), (2, 4), (1, 4), (1, 5), (0, 6), (0, 9)]","[40, 1101, 407, 1654, 326, 31967, 6709, 318, 262, 1266, 835, 284, 8494, 262, 1917, 286, 1877, 10270, 3965, 13]",0.4894841427560829,4.635620340088487
6,5,"{'text': 'If we are going to make voting compulsory, then we should make it compulsory for all citizens.'}",[5],"[(5, 5), (4, 2), (4, 5), (2, 5), (2, 7), (1, 4), (1, 5), (0, 1), (0, 2), (0, 5)]","[1532, 356, 389, 1016, 284, 787, 6709, 31967, 11, 788, 356, 815, 787, 340, 31967, 329, 477, 4290, 13]",0.48041090680813103,4.735073014678892
