step,agent,post,peers,context,tokens
1,0,"{'type': 'pro', 'text': 'In the 1998 local elections, turnout averaged no more than 30 per cent, and in some areas under 20 per cent. Even in the 1997 general election, almost 30 per cent of the population did not vote.'}","[0, 1, 2, 5, 9]","[[0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[818, 262, 7795, 1957, 7024, 11, 21666, 16449, 645, 517, 621, 1542, 583, 1247, 11, 290, 287, 617, 3006, 739, 1160, 583, 1247, 13, 3412, 287, 262, 8309, 2276, 3071, 11, 2048, 1542, 583, 1247, 286, 262, 3265, 750, 407, 3015, 13]"
1,1,"{'type': 'pro', 'text': 'In the 1998 local elections, turnout averaged no more than 30 per cent, and in some areas under 20 per cent. Even in the 1997 general election, almost 30 per cent of the population did not vote.'}","[0, 1, 2, 5, 9]","[[0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[818, 262, 7795, 1957, 7024, 11, 21666, 16449, 645, 517, 621, 1542, 583, 1247, 11, 290, 287, 617, 3006, 739, 1160, 583, 1247, 13, 3412, 287, 262, 8309, 2276, 3071, 11, 2048, 1542, 583, 1247, 286, 262, 3265, 750, 407, 3015, 13]"
1,2,"{'type': 'pro', 'text': 'Turnout in British election is distressingly low. Compulsory voting might fix this problem and increase the legitimacy of our government.'}","[0, 1, 2, 5, 9]","[[0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[17278, 448, 287, 3517, 3071, 318, 17087, 4420, 1877, 13, 3082, 5753, 652, 6709, 1244, 4259, 428, 1917, 290, 2620, 262, 22726, 286, 674, 1230, 13]"
1,3,"{'type': 'con', 'text': ""Many people cannot get away from their work, or find someone to look after their children. And that's the reason why they don't vote.""}","[3, 4, 6, 7, 8]","[[0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[7085, 661, 2314, 651, 1497, 422, 511, 670, 11, 393, 1064, 2130, 284, 804, 706, 511, 1751, 13, 843, 326, 338, 262, 1738, 1521, 484, 836, 470, 3015, 13]"
1,4,"{'type': 'con', 'text': ""There are many reasons why people don't vote. None of these motivations can be affected by forcing people to vote – those who cannot will continue not to, and those who are not interested will vote randomly.""}","[3, 4, 6, 7, 8]","[[0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[1858, 389, 867, 3840, 1521, 661, 836, 470, 3015, 13, 6045, 286, 777, 28140, 460, 307, 5676, 416, 10833, 661, 284, 3015, 784, 883, 508, 2314, 481, 2555, 407, 284, 11, 290, 883, 508, 389, 407, 4609, 481, 3015, 15456, 13]"
1,5,"{'type': 'pro', 'text': 'Voting is compulsory in other countries, for instance in Australia. We should adopt the same system to secure greater democratic involvement.'}","[0, 1, 2, 5, 9]","[[0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[53, 10720, 318, 31967, 287, 584, 2678, 11, 329, 4554, 287, 4505, 13, 775, 815, 11206, 262, 976, 1080, 284, 5713, 3744, 10518, 9750, 13]"
1,6,"{'type': 'con', 'text': 'There are many reasons why people do not vote. Up to 10 per cent of the population is not on the electoral register at any one time.'}","[3, 4, 6, 7, 8]","[[0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[1858, 389, 867, 3840, 1521, 661, 466, 407, 3015, 13, 3205, 284, 838, 583, 1247, 286, 262, 3265, 318, 407, 319, 262, 13901, 7881, 379, 597, 530, 640, 13]"
1,7,"{'type': 'con', 'text': ""Many people cannot get away from their work, or find someone to look after their children. And that's the reason why they don't vote.""}","[3, 4, 6, 7, 8]","[[0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[7085, 661, 2314, 651, 1497, 422, 511, 670, 11, 393, 1064, 2130, 284, 804, 706, 511, 1751, 13, 843, 326, 338, 262, 1738, 1521, 484, 836, 470, 3015, 13]"
1,8,"{'type': 'con', 'text': ""Some people who don't vote cannot get physically to the polling booth. Others are simply not interested in politics.""}","[3, 4, 6, 7, 8]","[[0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[4366, 661, 508, 836, 470, 3015, 2314, 651, 10170, 284, 262, 13985, 18600, 13, 12691, 389, 2391, 407, 4609, 287, 4819, 13]"
1,9,"{'type': 'pro', 'text': 'In the 1998 local elections, turnout averaged no more than 30 per cent, and in some areas under 20 per cent. Even in the 1997 general election, almost 30 per cent of the population did not vote.'}","[0, 1, 2, 5, 9]","[[0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[818, 262, 7795, 1957, 7024, 11, 21666, 16449, 645, 517, 621, 1542, 583, 1247, 11, 290, 287, 617, 3006, 739, 1160, 583, 1247, 13, 3412, 287, 262, 8309, 2276, 3071, 11, 2048, 1542, 583, 1247, 286, 262, 3265, 750, 407, 3015, 13]"
2,0,"{'text': 'At the time of the French Revolution, the idea of universal suffrage was very much on the cards, but only a minority of the population supported it.'}","[0, 1, 2, 5, 9]","[[1, 0], [1, 1], [1, 2], [1, 5], [1, 9], [0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[2953, 262, 640, 286, 262, 4141, 9303, 11, 262, 2126, 286, 10112, 3027, 8394, 373, 845, 881, 319, 262, 4116, 11, 475, 691, 257, 9137, 286, 262, 3265, 4855, 340, 13]"
2,1,"{'text': 'If Britain is to become a fully democratic nation, it will need to accede to the principle that all people have a right to vote, regardless of income or wealth, and regardless of whether they are...'}","[0, 1, 2, 5, 9]","[[1, 0], [1, 1], [1, 2], [1, 5], [1, 9], [0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[1532, 5491, 318, 284, 1716, 257, 3938, 10518, 3277, 11, 340, 481, 761, 284, 697, 18654, 284, 262, 7989, 326, 477, 661, 423, 257, 826, 284, 3015, 11, 7692, 286, 3739, 393, 5129, 11, 290, 7692, 286, 1771, 484, 389, 986]"
2,2,"{'text': ""If you are a citizen, you are entitled to vote. If you don't want to vote, you don't have to.""}","[0, 1, 2, 5, 9]","[[1, 0], [1, 1], [1, 2], [1, 5], [1, 9], [0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[1532, 345, 389, 257, 9511, 11, 345, 389, 9080, 284, 3015, 13, 1002, 345, 836, 470, 765, 284, 3015, 11, 345, 836, 470, 423, 284, 13]"
2,3,"{'text': 'Allowing people to vote is a means to an end. It is part of the political process, not an end in itself.'}","[3, 4, 6, 7, 8]","[[1, 3], [1, 4], [1, 6], [1, 7], [1, 8], [0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[3237, 7855, 661, 284, 3015, 318, 257, 1724, 284, 281, 886, 13, 632, 318, 636, 286, 262, 1964, 1429, 11, 407, 281, 886, 287, 2346, 13]"
2,4,{'text': 'Why not just have an election every two years? Why not have a national referendum every four years?'},"[3, 4, 6, 7, 8]","[[1, 3], [1, 4], [1, 6], [1, 7], [1, 8], [0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[5195, 407, 655, 423, 281, 3071, 790, 734, 812, 30, 4162, 407, 423, 257, 2260, 11467, 790, 1440, 812, 30]"
2,5,"{'text': ""If you allow people to vote, you don't have to deal with them. You don't have to argue with them.""}","[0, 1, 2, 5, 9]","[[1, 0], [1, 1], [1, 2], [1, 5], [1, 9], [0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[1532, 345, 1249, 661, 284, 3015, 11, 345, 836, 470, 423, 284, 1730, 351, 606, 13, 921, 836, 470, 423, 284, 7267, 351, 606, 13]"
2,6,{'text': 'Should the voting machine be able to give the wrong result? Yes. Should it be possible to fix the problem? Yes.'},"[3, 4, 6, 7, 8]","[[1, 3], [1, 4], [1, 6], [1, 7], [1, 8], [0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[19926, 262, 6709, 4572, 307, 1498, 284, 1577, 262, 2642, 1255, 30, 3363, 13, 10358, 340, 307, 1744, 284, 4259, 262, 1917, 30, 3363, 13]"
2,7,"{'text': ""If you can't vote in a local election, it's not your fault. It's the fault of the system, which has created so many obstacles for people who want to vote.""}","[3, 4, 6, 7, 8]","[[1, 3], [1, 4], [1, 6], [1, 7], [1, 8], [0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[1532, 345, 460, 470, 3015, 287, 257, 1957, 3071, 11, 340, 338, 407, 534, 8046, 13, 632, 338, 262, 8046, 286, 262, 1080, 11, 543, 468, 2727, 523, 867, 17648, 329, 661, 508, 765, 284, 3015, 13]"
2,8,"{'text': ""It would be nice if the state didn't want to be so involved in people's lives.""}","[3, 4, 6, 7, 8]","[[1, 3], [1, 4], [1, 6], [1, 7], [1, 8], [0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[1026, 561, 307, 3621, 611, 262, 1181, 1422, 470, 765, 284, 307, 523, 2950, 287, 661, 338, 3160, 13]"
2,9,"{'text': 'If you oppose compulsory voting, then you should reject the idea of compulsory voting altogether.'}","[0, 1, 2, 5, 9]","[[1, 0], [1, 1], [1, 2], [1, 5], [1, 9], [0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[1532, 345, 12856, 31967, 6709, 11, 788, 345, 815, 4968, 262, 2126, 286, 31967, 6709, 13318, 13]"
3,0,"{'text': ""What's the point of being a citizen if you don't have the right to vote? The right to vote is the right to be heard.""}","[0, 1, 2, 5, 9]","[[2, 0], [2, 1], [2, 2], [2, 5], [2, 9], [1, 0], [1, 1], [1, 2], [1, 5], [1, 9], [0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[2061, 338, 262, 966, 286, 852, 257, 9511, 611, 345, 836, 470, 423, 262, 826, 284, 3015, 30, 383, 826, 284, 3015, 318, 262, 826, 284, 307, 2982, 13]"
3,1,"{'text': 'In the 1998 local elections, turnout averaged no more than 30 per cent, and in some areas under 20 per cent.'}","[0, 1, 2, 5, 9]","[[2, 0], [2, 1], [2, 2], [2, 5], [2, 9], [1, 0], [1, 1], [1, 2], [1, 5], [1, 9], [0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[818, 262, 7795, 1957, 7024, 11, 21666, 16449, 645, 517, 621, 1542, 583, 1247, 11, 290, 287, 617, 3006, 739, 1160, 583, 1247, 13]"
3,2,"{'text': ""If you allow people to vote, then you don't have to deal with them. You don't have to argue with them. They don't have to know you.""}","[0, 1, 2, 5, 9]","[[2, 0], [2, 1], [2, 2], [2, 5], [2, 9], [1, 0], [1, 1], [1, 2], [1, 5], [1, 9], [0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[1532, 345, 1249, 661, 284, 3015, 11, 788, 345, 836, 470, 423, 284, 1730, 351, 606, 13, 921, 836, 470, 423, 284, 7267, 351, 606, 13, 1119, 836, 470, 423, 284, 760, 345, 13]"
3,3,"{'text': ""We've already seen many examples of this in the UK. In the 2010 general election, it was possible to vote in the House of Commons without having a passport.""}","[3, 4, 6, 7, 8]","[[2, 3], [2, 4], [2, 6], [2, 7], [2, 8], [1, 3], [1, 4], [1, 6], [1, 7], [1, 8], [0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[1135, 1053, 1541, 1775, 867, 6096, 286, 428, 287, 262, 3482, 13, 554, 262, 3050, 2276, 3071, 11, 340, 373, 1744, 284, 3015, 287, 262, 2097, 286, 13815, 1231, 1719, 257, 17981, 13]"
3,4,"{'text': 'What about the man, the woman, and the child who do not wish to vote? What about them? What should we do with them? How should they vote?'}","[3, 4, 6, 7, 8]","[[2, 3], [2, 4], [2, 6], [2, 7], [2, 8], [1, 3], [1, 4], [1, 6], [1, 7], [1, 8], [0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[2061, 546, 262, 582, 11, 262, 2415, 11, 290, 262, 1200, 508, 466, 407, 4601, 284, 3015, 30, 1867, 546, 606, 30, 1867, 815, 356, 466, 351, 606, 30, 1374, 815, 484, 3015, 30]"
3,5,{'text': 'There is a high degree of variability in the levels of voting among different age groups.'},"[0, 1, 2, 5, 9]","[[2, 0], [2, 1], [2, 2], [2, 5], [2, 9], [1, 0], [1, 1], [1, 2], [1, 5], [1, 9], [0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[1858, 318, 257, 1029, 4922, 286, 25364, 287, 262, 2974, 286, 6709, 1871, 1180, 2479, 2628, 13]"
3,6,{'text': 'There are a lot of reasons why people do not vote.'},"[3, 4, 6, 7, 8]","[[2, 3], [2, 4], [2, 6], [2, 7], [2, 8], [1, 3], [1, 4], [1, 6], [1, 7], [1, 8], [0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[1858, 389, 257, 1256, 286, 3840, 1521, 661, 466, 407, 3015, 13]"
3,7,"{'text': 'Frictional elections are often a waste of money, and should be avoided as much as possible.'}","[3, 4, 6, 7, 8]","[[2, 3], [2, 4], [2, 6], [2, 7], [2, 8], [1, 3], [1, 4], [1, 6], [1, 7], [1, 8], [0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[37, 2012, 1538, 7024, 389, 1690, 257, 7030, 286, 1637, 11, 290, 815, 307, 13941, 355, 881, 355, 1744, 13]"
3,8,{'text': 'The purpose of a democracy is to represent the will of the people.'},"[3, 4, 6, 7, 8]","[[2, 3], [2, 4], [2, 6], [2, 7], [2, 8], [1, 3], [1, 4], [1, 6], [1, 7], [1, 8], [0, 3], [0, 4], [0, 6], [0, 7], [0, 8]]","[464, 4007, 286, 257, 7996, 318, 284, 2380, 262, 481, 286, 262, 661, 13]"
3,9,"{'text': ""You don't have to agree with me on every point, but you should understand why I believe there's a need for compulsory voting.""}","[0, 1, 2, 5, 9]","[[2, 0], [2, 1], [2, 2], [2, 5], [2, 9], [1, 0], [1, 1], [1, 2], [1, 5], [1, 9], [0, 0], [0, 1], [0, 2], [0, 5], [0, 9]]","[1639, 836, 470, 423, 284, 4236, 351, 502, 319, 790, 966, 11, 475, 345, 815, 1833, 1521, 314, 1975, 612, 338, 257, 761, 329, 31967, 6709, 13]"
4,0,"{'text': ""Compulsory voting wouldn't solve the basic problem of voter apathy. In 2012, turnout in British elections was 21.3 per cent. Compulsory voting would do nothing to change this.""}","[0, 1, 2, 5, 9]","[[1, 0], [2, 1], [3, 9], [2, 0], [3, 1], [3, 5], [1, 2], [1, 5], [0, 1], [3, 0], [2, 9], [0, 0], [1, 9], [1, 1], [2, 2]]","[7293, 5753, 652, 6709, 3636, 470, 8494, 262, 4096, 1917, 286, 10765, 2471, 10036, 13, 554, 2321, 11, 21666, 287, 3517, 7024, 373, 2310, 13, 18, 583, 1247, 13, 3082, 5753, 652, 6709, 561, 466, 2147, 284, 1487, 428, 13]"
4,1,{'text': 'Compulsory voting is a very good idea.'},"[0, 1, 2, 5, 9]","[[2, 1], [3, 9], [3, 1], [2, 5], [3, 0], [1, 1], [2, 0], [2, 2], [0, 1], [1, 9], [3, 5], [3, 2], [2, 9], [1, 0], [1, 5]]","[7293, 5753, 652, 6709, 318, 257, 845, 922, 2126, 13]"
4,2,{'text': 'The idea of compulsory voting has been around for quite some time. It was first mooted by J.M. Keynes in 1944.'},"[0, 1, 2, 5, 9]","[[3, 5], [3, 2], [3, 9], [0, 2], [1, 1], [3, 0], [2, 2], [2, 9], [1, 5], [2, 1], [0, 5], [3, 1], [1, 9], [1, 2], [2, 5]]","[464, 2126, 286, 31967, 6709, 468, 587, 1088, 329, 2407, 617, 640, 13, 632, 373, 717, 41264, 276, 416, 449, 13, 44, 13, 33531, 287, 16994, 13]"
4,3,"{'text': ""I like the idea of compulsory voting, but I don't like the way it is being imposed on us. If we want to use compulsory voting, let's make it optional.""}","[3, 4, 6, 7, 8]","[[2, 4], [0, 7], [2, 6], [1, 4], [2, 3], [0, 3], [3, 3], [1, 3], [3, 8], [1, 8], [3, 4], [0, 8], [2, 8], [3, 6], [3, 7]]","[40, 588, 262, 2126, 286, 31967, 6709, 11, 475, 314, 836, 470, 588, 262, 835, 340, 318, 852, 10893, 319, 514, 13, 1002, 356, 765, 284, 779, 31967, 6709, 11, 1309, 338, 787, 340, 11902, 13]"
4,4,"{'text': ""- We're not talking about a voluntary vote. The people who don't want to vote should not be forced to vote.""}","[3, 4, 6, 7, 8]","[[2, 4], [3, 4], [2, 6], [0, 4], [1, 7], [3, 7], [3, 3], [2, 7], [3, 6], [1, 4], [2, 3], [3, 8], [0, 7], [1, 3], [0, 8]]","[12, 775, 821, 407, 3375, 546, 257, 16171, 3015, 13, 383, 661, 508, 836, 470, 765, 284, 3015, 815, 407, 307, 4137, 284, 3015, 13]"
4,5,"{'text': ""If you allow people to vote, then you don't have to deal with them. You don't have to argue with them. They don't have to know you.""}","[0, 1, 2, 5, 9]","[[3, 1], [3, 9], [1, 2], [1, 5], [3, 5], [3, 2], [2, 5], [3, 0], [0, 1], [0, 9], [2, 9], [2, 2], [1, 9], [2, 0], [1, 1]]","[1532, 345, 1249, 661, 284, 3015, 11, 788, 345, 836, 470, 423, 284, 1730, 351, 606, 13, 921, 836, 470, 423, 284, 7267, 351, 606, 13, 1119, 836, 470, 423, 284, 760, 345, 13]"
4,6,"{'text': ""If you can't be bothered to vote, don't vote.""}","[3, 4, 6, 7, 8]","[[1, 6], [3, 7], [1, 4], [0, 3], [3, 6], [3, 3], [2, 6], [1, 8], [3, 4], [1, 7], [2, 8], [3, 8], [0, 4], [1, 3], [2, 3]]","[1532, 345, 460, 470, 307, 20466, 284, 3015, 11, 836, 470, 3015, 13]"
4,7,"{'text': 'We should all be able to vote, not just those who want to. There should be no barriers in the way of people who want to vote.'}","[3, 4, 6, 7, 8]","[[0, 7], [3, 3], [2, 7], [3, 7], [1, 8], [3, 6], [1, 7], [2, 4], [3, 4], [2, 3], [0, 4], [2, 8], [3, 8], [2, 6], [1, 6]]","[1135, 815, 477, 307, 1498, 284, 3015, 11, 407, 655, 883, 508, 765, 284, 13, 1318, 815, 307, 645, 14725, 287, 262, 835, 286, 661, 508, 765, 284, 3015, 13]"
4,8,"{'text': 'Forcing people to vote is not good politics. It is there to deter people from voting, to make it harder for them to vote. It is not part of the political process.'}","[3, 4, 6, 7, 8]","[[3, 4], [3, 3], [1, 8], [3, 8], [2, 4], [2, 6], [1, 3], [2, 8], [0, 8], [3, 7], [3, 6], [1, 4], [2, 7], [0, 4], [2, 3]]","[1890, 2259, 661, 284, 3015, 318, 407, 922, 4819, 13, 632, 318, 612, 284, 2206, 661, 422, 6709, 11, 284, 787, 340, 7069, 329, 606, 284, 3015, 13, 632, 318, 407, 636, 286, 262, 1964, 1429, 13]"
4,9,"{'text': 'In Britain, the 2004 local elections were the lowest turnout in the history of the country. This is hardly a surprise. The whole idea of compulsory voting is inherently problematic.'}","[0, 1, 2, 5, 9]","[[2, 9], [3, 1], [1, 5], [3, 9], [3, 0], [0, 1], [1, 1], [1, 9], [3, 5], [2, 2], [1, 2], [1, 0], [2, 1], [0, 5], [3, 2]]","[818, 5491, 11, 262, 5472, 1957, 7024, 547, 262, 9016, 21666, 287, 262, 2106, 286, 262, 1499, 13, 770, 318, 8941, 257, 5975, 13, 383, 2187, 2126, 286, 31967, 6709, 318, 20108, 15833, 13]"
5,0,"{'text': ""What's the point of voting if you don't have the right to vote? The right to vote is the right to be heard.""}","[0, 1, 2, 5, 9]","[[4, 2], [3, 9], [4, 0], [3, 5], [4, 1], [2, 0], [4, 9], [4, 5], [3, 1], [2, 2], [1, 9], [3, 0], [1, 0], [1, 2], [2, 1]]","[2061, 338, 262, 966, 286, 6709, 611, 345, 836, 470, 423, 262, 826, 284, 3015, 30, 383, 826, 284, 3015, 318, 262, 826, 284, 307, 2982, 13]"
5,1,"{'text': ""If you allow people to vote, then you don't have to deal with them. You don't have to argue with them.""}","[0, 1, 2, 5, 9]","[[1, 9], [4, 0], [4, 1], [3, 5], [2, 0], [2, 5], [3, 9], [0, 1], [3, 1], [2, 2], [3, 2], [4, 2], [2, 1], [4, 9], [3, 0]]","[1532, 345, 1249, 661, 284, 3015, 11, 788, 345, 836, 470, 423, 284, 1730, 351, 606, 13, 921, 836, 470, 423, 284, 7267, 351, 606, 13]"
5,2,"{'text': ""If people have the right to vote, then they should have the right to vote. If you allow people to vote, then you don't have to deal with them.""}","[0, 1, 2, 5, 9]","[[4, 2], [4, 5], [3, 0], [2, 2], [4, 1], [3, 2], [1, 5], [3, 1], [4, 9], [2, 5], [3, 5], [3, 9], [2, 9], [4, 0], [1, 2]]","[1532, 661, 423, 262, 826, 284, 3015, 11, 788, 484, 815, 423, 262, 826, 284, 3015, 13, 1002, 345, 1249, 661, 284, 3015, 11, 788, 345, 836, 470, 423, 284, 1730, 351, 606, 13]"
5,3,"{'text': 'If the state wants to make it harder for people to vote, it should do it.'}","[3, 4, 6, 7, 8]","[[4, 4], [2, 3], [3, 7], [4, 7], [4, 3], [4, 8], [1, 4], [2, 8], [3, 3], [2, 6], [4, 6], [3, 4], [3, 6], [0, 8], [3, 8]]","[1532, 262, 1181, 3382, 284, 787, 340, 7069, 329, 661, 284, 3015, 11, 340, 815, 466, 340, 13]"
5,4,"{'text': 'Everyone should have the right to vote, regardless of their age, ability to pay, or any other reason they might have for not wanting to vote.'}","[3, 4, 6, 7, 8]","[[4, 3], [4, 4], [1, 4], [4, 6], [3, 8], [4, 8], [3, 7], [2, 7], [3, 3], [2, 4], [3, 4], [3, 6], [4, 7], [0, 4], [2, 3]]","[16190, 815, 423, 262, 826, 284, 3015, 11, 7692, 286, 511, 2479, 11, 2694, 284, 1414, 11, 393, 597, 584, 1738, 484, 1244, 423, 329, 407, 10291, 284, 3015, 13]"
5,5,"{'text': ""If you allow people to vote, then you don't have to deal with them. You don't have to argue with them. They don't have to know you.""}","[0, 1, 2, 5, 9]","[[4, 5], [3, 9], [3, 5], [2, 2], [4, 9], [2, 5], [4, 1], [1, 5], [4, 2], [3, 0], [2, 9], [4, 0], [2, 0], [0, 9], [3, 2]]","[1532, 345, 1249, 661, 284, 3015, 11, 788, 345, 836, 470, 423, 284, 1730, 351, 606, 13, 921, 836, 470, 423, 284, 7267, 351, 606, 13, 1119, 836, 470, 423, 284, 760, 345, 13]"
5,6,"{'text': ""If we don't want to vote, then why should we be forced to vote?""}","[3, 4, 6, 7, 8]","[[1, 6], [4, 3], [4, 6], [2, 8], [4, 7], [2, 6], [3, 6], [4, 4], [1, 7], [3, 3], [3, 4], [4, 8], [3, 7], [3, 8], [2, 3]]","[1532, 356, 836, 470, 765, 284, 3015, 11, 788, 1521, 815, 356, 307, 4137, 284, 3015, 30]"
5,7,"{'text': ""The people who don't want to vote should not be forced to vote. They should not have to vote at all.""}","[3, 4, 6, 7, 8]","[[2, 4], [3, 7], [4, 7], [4, 6], [3, 8], [3, 6], [2, 8], [3, 3], [4, 3], [4, 8], [2, 7], [1, 7], [4, 4], [2, 6], [3, 4]]","[464, 661, 508, 836, 470, 765, 284, 3015, 815, 407, 307, 4137, 284, 3015, 13, 1119, 815, 407, 423, 284, 3015, 379, 477, 13]"
5,8,"{'text': 'If people cannot be bothered to vote, why not make it compulsory? Why not make it easier to vote?'}","[3, 4, 6, 7, 8]","[[4, 8], [3, 6], [3, 8], [4, 6], [2, 4], [1, 4], [4, 7], [3, 3], [4, 3], [2, 6], [4, 4], [2, 3], [1, 8], [3, 4], [2, 8]]","[1532, 661, 2314, 307, 20466, 284, 3015, 11, 1521, 407, 787, 340, 31967, 30, 4162, 407, 787, 340, 4577, 284, 3015, 30]"
5,9,"{'text': ""If you don't have the right to vote, then you don't have to deal with them. You don't have to argue with them. They don't have to know you.""}","[0, 1, 2, 5, 9]","[[4, 9], [3, 1], [3, 9], [4, 2], [2, 9], [3, 5], [0, 1], [4, 5], [2, 2], [2, 1], [4, 1], [3, 2], [4, 0], [3, 0], [1, 2]]","[1532, 345, 836, 470, 423, 262, 826, 284, 3015, 11, 788, 345, 836, 470, 423, 284, 1730, 351, 606, 13, 921, 836, 470, 423, 284, 7267, 351, 606, 13, 1119, 836, 470, 423, 284, 760, 345, 13]"
